"class","test_count","mae_64","mae_128","mae_256","best_latent_dim","best_test_opt_mae","improvement_64_to_256","status"
"airplane","456","0.010619293662449835","0.009099677317416328","0.007461943534987145","256","0.007461943534987145","0.297322046816276","complete"
"chair","832","0.019826273286106207","0.018218601321747813","0.013146845759855261","256","0.013146845759855261","0.336897783555306","full_eval_complete"
"lamp","213","0.01641453890908212","0.015093329303543752","0.01327528313300769","256","0.01327528313300769","0.19124848973598","complete"
