"class","checkpoint","valid_count","baseline_mean_chamfer","lora_mean_chamfer","relative_improvement","baseline_mean_sdf_mae","lora_mean_sdf_mae"
"airplane","100","456","0.00044077202339835213","0.0001992220438343482","0.548015678721289","0.00772173453598251","0.00418703002587631"
"airplane","200","456","0.00024065857933350853","0.00012877915712175767","0.464888567536612","0.00680922773429764","0.00360932701094721"
"chair","100","832","0.0009025028765826984","0.0004294285330663547","0.524180427332959","0.0111489539088395","0.00586400238647072"
"chair","200","832","0.0006821917490305314","0.0002709653809057302","0.602801732370992","0.0106087808330463","0.00499915499620749"
"lamp","100","213","0.003141395344993799","0.0014237067695142482","0.546791596357618","0.0134271042871818","0.00889140067998092"
"lamp","200","213","0.002060677891300447","0.0009424793841325845","0.542636242126222","0.0110673919088369","0.00743384725532271"
