"class","checkpoint","valid_count","accuracy_baseline","accuracy_lora","accuracy_improvement","chamfer_l1_baseline","chamfer_l1_lora","chamfer_l1_improvement","sinkhorn_emd_baseline","sinkhorn_emd_lora","sinkhorn_emd_improvement","fscore005_baseline","fscore005_lora","fscore005_improvement","fscore01_baseline","fscore01_lora","fscore01_improvement"
"airplane","200","456","0.005587682669437136","0.00429790384722899","0.230825352567502","0.011815463244292083","0.009560880408798229","0.190816287849147","0.041159809611515684","0.03754726846147656","0.087768655495151","0.699701435441752","0.7651356206248553","0.0935172944754527","0.9057375210457261","0.9438101111016882","0.0420349043418286"
"chair","200","832","0.010546756082509105","0.007283068167142504","0.309449454394717","0.02025813640389437","0.014910459797845098","0.263976730111327","0.0560622730111893","0.049354022870873746","0.11965712019876","0.3194949196001641","0.39947681661077233","0.250338556590204","0.7596904222543277","0.8551604588404976","0.125669659363178"
"lamp","200","213","0.014281406901981316","0.008148423606544237","0.429438313573029","0.028626274023533068","0.018680352294896518","0.347440317257503","0.07052078754164033","0.05567981302171962","0.210448224378628","0.4008875326573677","0.5130572200410817","0.279803381861675","0.719219262932771","0.836262172025456","0.16273605995398"
