bucket,instance,baseline_mae,ttt_mae,gain,relative_gain
best,d4b5f8edc72b4676f4175ee3a177350a,0.017477668821811676,0.00561780808493495,0.011859860736876726,0.6785722316740508
best,ccd5e24c9b96febd5208aab875b932bc,0.018910741433501244,0.006932636257261038,0.011978105176240206,0.6334021972835208
best,ed7b1be61b8e78ac5d8eba92952b9366,0.024395599961280823,0.012197652831673622,0.0121979471296072,0.5000060317830683
failure_or_worst,f030f5181057ddf75622d7484764b58f,0.008288471028208733,0.00847385823726654,-0.00018538720905780792,-0.022366876644301065
failure_or_worst,fdd7090f3ca12395a7ae19ac44244eae,0.015428153797984123,0.015527989715337753,-9.983591735363007e-05,-0.0064710216569577395
failure_or_worst,ced9c5eee916cce089c398a8a379054a,0.005393259692937136,0.005246862303465605,0.00014639738947153091,0.02714450959282545
median,f1c390f2a04d13f6742728b30848ed03,0.00933122169226408,0.005079132504761219,0.004252089187502861,0.45568408164902957
median,fee248777c9c4807f8bc1f8036e08e44,0.009809128940105438,0.004411136731505394,0.005397992208600044,0.550302910845621
