"bucket","instance","baseline_mae","ttt_mae","gain","relative_gain"
"best","e613b3c2006c457ea35a7666f0cfa5bb","0.014186197891831398","0.00507811363786459","0.009108084253966808","0.6420384322434529"
"best","ed2f272286506a5786e8e92cc08146","0.02060217410326004","0.010513434186577797","0.010088739916682243","0.4896929744461204"
"best","db447b84e1a8d8d6ba5342d638d0c267","0.02487373724579811","0.014103027060627937","0.010770710185170174","0.43301535586453366"
"failure_or_worst","e507bc77c03a1b3afcb8d8c6d4df8143","0.009668190032243729","0.015284255146980286","-0.005616065114736557","-0.5808807125229021"
"failure_or_worst","ed54691cf655a8a3b3a8888e78d004b3","0.019340042024850845","0.019931063055992126","-0.0005910210311412811","-0.030559449166752222"
"failure_or_worst","fa9dc903c8324b85e3d605ae370b7c5c","0.011290274560451508","0.011426105163991451","-0.0001358306035399437","-0.012030761768694465"
"median","e86e6469000a7e7deb39e694585254c6","0.017700012773275375","0.014348704367876053","0.0033513084053993225","0.18933932129469108"
"median","ddc2d39dac6e84506c5b8009db95f66f","0.01477116346359253","0.00926609430462122","0.00550506915897131","0.3726902875687498"
