bucket,instance,baseline_mae,ttt_mae,gain,relative_gain
best,e387c8d826cbbdd68a8dc9dc46f918a8,0.015600835904479027,0.004341684281826019,0.011259151622653008,0.7217018172353499
best,f9db62e6a88f0d7129343faf3bbffb15,0.025411685928702354,0.014096076600253582,0.011315609328448772,0.44529156232282313
best,d709b3afd41a578ba03df56f69a35fcc,0.015269134193658829,0.0036542494781315327,0.011614884715527296,0.7606773618081686
failure_or_worst,ddc14c7e0a228663796843908eee8f7d,0.006453223992139101,0.0053231921046972275,0.0011300318874418736,0.17511121399449409
failure_or_worst,f3cbfb52ea1c907a850e00840470903a,0.004002268426120281,0.0028171895537525415,0.0011850788723677397,0.2961017968293874
failure_or_worst,f2975fde05d9d63eeea0c0561850e04e,0.004793188534677029,0.003598865121603012,0.0011943234130740166,0.24917096509630446
median,f986604528abe35554eefcdc602d4520,0.005352876149117947,0.002817142754793167,0.0025357333943247795,0.47371419096677975
median,f6e6fd724a9eab24ba8e93696257b3fc,0.015280835330486298,0.011784485541284084,0.0034963497892022133,0.22880619505314342
